suit,card,question a,answer a,question b,answer b
S,Ace,"You have two ropes that each take exactly one hour to burn. They don't burn at a uniform rate. How can you measure exactly 45 minutes?","Light one rope at both ends and the other rope at one end. When the first rope burns out (30 mins), light the other end of the second rope. It will finish in 15 mins.","A man is looking at a portrait and says, 'Brothers and sisters I have none, but that man's father is my father's son.' Who is in the portrait?","His son."
S,King,"What is the next number in the sequence: 7, 10, 8, 11, 9, 12, __?","10 (The pattern is +3, then -2).","What has to be broken before you can use it?","An egg."
S,Queen,"You roll two standard six-sided dice. What is the probability of rolling a total of 7?","1/6 (There are 6 ways to make 7 out of 36 total possibilities).","What is full of holes but still holds water?","A sponge."
S,Jack,"If 5x + 3 = 23, what is the value of x?","x = 4.","What has keys but opens no locks, and space but no room?","A keyboard."
S,10,"What is 15% of 200?","30.","How many months have 28 days?","All of them."
S,9,"I am an odd number. Take away a letter and I become even. What number am I?","Seven.","A plane crashes on the border between the U.S. and Canada. Where do they bury the survivors?","You don't bury survivors."
S,8,"How many sides does a dodecagon have?","12.","What is always in front of you but can’t be seen?","The future."
S,7,"What is the Roman numeral for 100?","C.","What can you catch, but not throw?","A cold."
S,6,"What is 8 * 7 + 4?","60.","What question can you never answer yes to?","Are you asleep yet?"
S,5,"How many degrees are in a right angle?","90.","What goes up but never comes down?","Your age."
S,4,"What is the value of Pi to two decimal places?","3.14.","What has a neck without a head, and a body without legs?","A bottle."
S,3,"How many seconds are in a minute?","60.","What has one head, one foot, and four legs?","A bed."
S,2,"What is 2 + 2?","4.","What has to be twisted to be used?","A bottle cap."
D,Ace,"What is the time complexity of a binary search algorithm on a sorted array?","O(log n).","What is the difference between concurrency and parallelism?","Concurrency is tasks making progress over time; parallelism is tasks running at the exact same time."
D,King,"What is a 'Singleton' in object-oriented programming?","A design pattern that restricts a class to a single instance.","What is the main difference between a List and a Set data structure?","A List allows duplicates and maintains order; a Set does not allow duplicates."
D,Queen,"In OOP, what is the difference between method 'overloading' and 'overriding'?","Overloading is the same method name with different parameters. Overriding is a subclass providing its own implementation of a superclass method.","What does the 'finally' block in a try-catch statement do?","It executes code after the try/catch, regardless of whether an exception was thrown."
D,King,"In Python, what is the difference between the `==` operator and the `is` operator?","`==` checks for equality of value, while `is` checks for object identity.","What does the acronym API stand for?","Application Programming Interface."
D,10,"What does CSS stand for in web development?","Cascading Style Sheets.","What is the purpose of the `git clone` command?","To create a local copy of a remote Git repository."
D,9,"What keyword is used to declare a variable in JavaScript that cannot be reassigned?","`const`.","What data type would you use to store a true or false value?","Boolean."
D,8,"In HTML, which tag is used to create a hyperlink?","The `<a>` (anchor) tag.","What does 'debugging' mean in programming?","Finding and fixing errors or bugs in code."
D,7,"What programming language is primarily used for styling web pages?","CSS.","What is a 'loop' in programming?","A control structure that repeats a sequence of instructions until a specific condition is met."
D,6,"What is the file extension for a Python script?",".py.","What is a 'string' in programming?","A sequence of characters, like text."
D,5,"What symbol is used to write a single-line comment in Python?","The `#` (hash) symbol.","What does 'syntax' mean in programming?","The set of rules that defines the combinations of symbols that are considered to be correctly structured programs."
D,4,"What do you call a named storage location in a program?","A variable.","Which company developed the JavaScript language?","Netscape."
D,3,"What does HTML stand for?","HyperText Markup Language.","In programming, what does 'output' mean?","Data generated by a computer."
D,2,"What is the most popular programming language for web development?","JavaScript.","What is the process of writing instructions for a computer to execute called?","Programming or coding."
H,Ace,"What year was the first Google I/O conference held?","2008.","What is the name of Google's program for student leaders on university campuses?","Google Developer Student Clubs (GDSC)."
H,King,"What is the name of Google's open-source machine learning platform?","TensorFlow.","What Google cloud service is used for serverless application development?","Firebase or Google App Engine."
H,Queen,"What does WTM stand for in the context of Google's community programs?","Women Techmakers.","What is a 'Solution Challenge' in the context of GDSCs?","An annual competition for student clubs to solve local problems using Google technology."
H,Jack,"What is the name of the main event organized by Google Developer Groups worldwide?","DevFest.","What is a 'hackathon'?","An event where people engage in collaborative computer programming over a short period."
H,10,"Which Google product is a free-to-use, web-based word processor?","Google Docs.","What is Flutter?","An open-source UI software development kit created by Google."
H,9,"What is the name of Google's mobile operating system?","Android.","What is the primary purpose of a university's Computer Science department?","To teach the principles of computation and the design of computational systems."
H,8,"What does GDG stand for?","Google Developer Group.","What is a 'study jam' in the context of GDGs?","A community-run study group for developers."
H,7,"What is the name of the web browser developed by Google?","Chrome.","What is a 'tech talk'?","An informal presentation or lecture about a technical topic."
H,6,"What is Google's video-sharing platform called?","YouTube.","What is 'networking' in a professional or community context?","Interacting with others to exchange information and develop professional or social contacts."
H,5,"What is the official mascot of the Android operating system?","The green robot (Bugdroid).","What is a university 'major' or 'concentration'?","The academic discipline to which an undergraduate student formally commits."
H,4,"What is the name of Google's email service?","Gmail.","What is an 'alumni'?","A former student of a particular school, college, or university."
H,3,"What is the main function of Google Search?","To search for information on the World Wide Web.","What is a 'workshop' in a community or university setting?","A meeting at which a group of people engage in intensive discussion and activity on a particular subject."
H,2,"Who is the current CEO of Google?","Sundar Pichai.","What is a 'student'?","A person who is studying at a school or college."
C,Ace,"The first computer bug was famously a literal insect. What type of insect was it?","A moth.","What was the name of the first widely-used web browser with a graphical interface?","Mosaic."
C,King,"What does the 'CAPTCHA' in 'reCAPTCHA' stand for?","Completely Automated Public Turing test to tell Computers and Humans Apart.","What does the 'G' in 5G stand for?","Generation."
C,Queen,"What company developed the programming language Java?","Sun Microsystems.","What was the original name of the Google search engine?","Backrub."
C,Jack,"What does 'HTTP' stand for?","Hypertext Transfer Protocol.","What is the mascot of the Linux operating system?","A penguin named Tux."
C,10,"Who is credited with inventing the World Wide Web?","Tim Berners-Lee.","What does the acronym 'PDF' stand for?","Portable Document Format."
C,9,"What does 'open source' mean in software?","Software for which the original source code is made freely available and may be redistributed and modified.","In what decade was the first email sent?","The 1970s (1971 to be exact)."
C,8,"What is the name of the world's largest professional network online?","LinkedIn.","What was the first video game to be played in space?","Tetris."
C,7,"What does 'USB' stand for?","Universal Serial Bus.","What company's logo is a piece of fruit?","Apple."
C,6,"How many bits are in a byte?","8.","What is a 'pixel'?","The smallest controllable element of a picture represented on the screen."
C,5,"What does 'AI' stand for?","Artificial Intelligence.","What company developed the Windows operating system?","Microsoft."
C,4,"The '@' symbol is most commonly used in what type of address?","An email address.","What device are you using if you are 'tweeting'?","Twitter (now X)."
C,3,"What is the 'cloud' in cloud computing?","A network of servers, and each server has a different function.","What does 'www' stand for at the beginning of a web address?","World Wide Web."
C,2,"What do you use to click on things on a computer screen?","A mouse.","What is the 'brain' of the computer?","The CPU (Central Processing Unit)."
