suit,card,question a,answer a,question b,answer b
S,Ace,"A bat and a ball cost $1.10 in total. The bat costs $1.00 more than the ball. How much does the ball cost?","The ball costs $0.05 (5 cents).","You are in a room with three light switches, each controlling one of three light bulbs in the next room. You can only enter the bulb room once. How do you determine which switch controls which bulb?","Flip switch 1 on for a few minutes, then turn it off. Turn switch 2 on and leave it on. Enter the room. The bulb that is on is switch 2, the one that is warm but off is switch 1, and the cold one is switch 3."
S,King,"What is the next number in the sequence: 1, 4, 9, 16, 25, __?","36 (They are the squares of consecutive numbers: 6^2).","I have cities, but no houses. I have mountains, but no trees. I have water, but no fish. What am I?","A map."
S,Queen,"You have a 3-gallon jug and a 5-gallon jug. How can you measure out exactly 4 gallons of water?","Fill the 5-gallon jug and pour it into the 3-gallon jug, leaving 2 gallons in the 5-gallon jug. Empty the 3-gallon jug. Pour the 2 gallons from the 5 into the 3. Fill the 5-gallon jug again and pour from it to fill the remaining 1-gallon space in the 3-gallon jug, leaving exactly 4 gallons in the 5-gallon jug.","You roll two standard six-sided dice. What is the probability of rolling a total of 7?","1/6 (There are 6 ways to make 7 out of 36 total possibilities)."
S,Jack,"What is the area of a right triangle with sides of length 3, 4, and 5?","6 square units. (Area = 1/2 * base * height = 1/2 * 3 * 4).","What three positive numbers give the same result when multiplied and added together?","1, 2, and 3. (1+2+3=6 and 1*2*3=6)."
S,10,"If you travel 180 miles in 3 hours, what is your average speed?","60 miles per hour.","What goes on four feet in the morning, two feet at noon, and three feet in the evening?","Man (crawls as a baby, walks as an adult, uses a cane in old age)."
S,9,"I am an odd number. Take away a letter and I become even. What number am I?","Seven.","What is it that lives if it is fed, and dies if you give it a drink?","Fire."
S,8,"How many sides does a dodecagon have?","12.","Forward I am heavy, but backward I am not. What am I?","A ton."
S,7,"How many vertices does a cube have?","8.","Poor people have it. Rich people need it. If you eat it you die. What is it?","Nothing."
S,6,"What is 5! (5 factorial)?","120 (5 * 4 * 3 * 2 * 1).","What has a bottom at the top?","Your legs."
S,5,"How many degrees are in a right angle?","90.","What can travel around the world while staying in a corner?","A stamp."
S,4,"What is the value of Pi to two decimal places?","3.14.","David's father has three sons: Snap, Crackle, and who?","David."
S,3,"What is the next prime number after 7?","11.","What has words, but never speaks?","A book."
S,2,"How many sides does a triangle have?","3.","What is black when you buy it, red when you use it, and gray when you throw it away?","Charcoal."
D,Ace,"What is the primary difference between TCP and UDP?","TCP is a connection-oriented protocol that guarantees delivery, while UDP is a connectionless protocol that does not.","What is the 'SOLID' principle in software design?","An acronym for five design principles: Single responsibility, Open-closed, Liskov substitution, Interface segregation, and Dependency inversion."
D,King,"What is the difference between a stack and a queue data structure?","A stack is Last-In, First-Out (LIFO), while a queue is First-In, First-Out (FIFO).","What is a 'Singleton' in object-oriented programming?","A design pattern that restricts a class to a single instance."
D,Queen,"In OOP, what is the difference between method 'overloading' and 'overriding'?","Overloading is the same method name with different parameters. Overriding is a subclass providing its own implementation of a superclass method.","What is the purpose of an 'index' in a database?","To speed up the retrieval of records from a database file."
D,Jack,"What does the command `git merge` do?","It integrates changes from another branch into the current branch.","What is a 'compiler'?","A program that translates code written in a high-level language into a lower-level language (like machine code) that a computer can execute."
